name,@lat,@lon,addr:street,contact:phone,contact:website,opening_hours
Siacca,-37.1785404,-62.7611834,,,,
L'Angolo,-37.1830161,-62.7614320,,,,
La Casa De Lucio,-31.8086597,-65.0022347,,,,
Il Caballino,-37.1728995,-62.7656431,,,,
Restaurante Posada Cordillerana,-40.3139533,-71.3807922,,,,
Posada Don Sebastian,-38.8963254,-70.4311277,,,,
Don Pedro,-28.4657609,-65.7856644,Caseros,,,
Don Carlos Restaurant,-28.6286569,-65.1273932,Rivadavia,,,
Manu's,-34.5994751,-58.5454311,436 - Avenida La Plata,+54 11 4757-8088,,"Mo-Su 00:00-01:30,06:45-24:00"
La Estelita,-34.9985795,-58.3971575,,,,
Café Fangio,-37.8468019,-58.2574706,Calle 17,,,
Vedia,-34.7066164,-58.3932640,Enrique Del Valle Iberlucea,,,
Restaurant Maracaibo,-34.5938987,-58.5614382,,,,
Maricel,-34.5951578,-58.5022096,Avenida San Martín,,,
La Opera,-34.6042820,-58.3921266,,,,
Nuevo Callao,-34.6018538,-58.3924252,,,,
Tian Ying,-34.5995196,-58.3932787,,,,
Torra,-35.8120838,-61.8980984,,,,
Zensató,-34.5970717,-58.3923354,,,,
Greta,-34.6046920,-58.3953798,,,,
Green Life,-34.6043197,-58.3941157,Avenida Corrientes,,,
Punta Cuore,-34.5995320,-58.3942601,Avenida Córdoba,,,
1er Euro,-34.5971694,-58.3946514,,,,
,-39.0025126,-61.5521339,,,,
FEIA - El Mollar,-26.9397939,-65.7029245,,,,
Astral,-34.6009299,-58.3912968,Viamonte,,,
Parrilla Peña,-34.6011730,-58.3915008,Rodríguez Peña,,,"Mo-Sa 12:00-16:00,20:00-24:00"
El Centinela,-34.6010556,-58.5615093,,,,
El Nuevo Padrino,-34.6023979,-58.5622067,,,,
Las Golondrinas,-38.0777318,-61.9282343,,,,
,-38.0843707,-61.9268155,,,,
Ristorante Da Roberto,-38.0828704,-61.9312182,,,,
La parrillita,-38.0835580,-61.9323519,Siete Colores,,,
,-38.0885798,-61.9327737,,,,
Rancho Villa,-38.0785776,-61.9290300,,,,
Niña Bonita,-34.6041963,-58.3910954,,,,
Mi Nueva Estancia,-26.8271296,-65.2023933,Córdoba,,,"Mo-Th 11:00-15:00,20:00-00:30; Fr-Su 11:00-16:00,20:00-01:30"
La Esquina,-26.8286041,-65.2024896,,,,
El Postino,-26.8288935,-65.2091632,,,,
La Leñita,-26.8251006,-65.2051945,San Juan,,,
La Pizzada,-26.8307408,-65.2049359,,,,
Hotel Versailles Tucumán,-26.8323664,-65.2042224,Crisóstomo Álvarez,,,
Monet,-34.5983669,-58.3898192,,,,
Casita China,-34.5970758,-58.3905474,,,,
El Cisne,-34.5970503,-58.3899308,,,,
Capitan Capote,-34.5893601,-58.5712657,,,,
El Cazador,-34.5892232,-58.5712067,,,,
La Aldea,-34.6031148,-58.5127789,,,,
Fritz,-34.5985992,-58.3961834,,,,
Al Club,-34.5987460,-58.3965978,,,,
Parador 40,-34.6523449,-58.5109396,,,,
La Dorita,-34.5673342,-58.4366570,Arce,,,
Tonno,-34.5703065,-58.4316103,Arce,,,
Las Cholas,-34.5712195,-58.4305437,Arce,,,
La Caballeriza,-34.5712132,-58.4318734,Avenida General Indalecio Cheneaut,,,
La Stampa,-34.5739719,-58.4303660,,,,
El Duende,-34.3264383,-58.7589960,Kennedy,,,
JC Parrila Restaurante,-34.3516463,-58.7974196,Spadaccini,,,
Las Nanas de la Cebolla,-34.3262889,-58.7588916,Kennedy,,,
Pedro Navaja,-36.5274862,-56.6894069,,,,
La Farola,-34.5784344,-58.4607498,,,,
Duque,-34.5776985,-58.4387425,Nicaragua,,,Mo-Fr 19:00-24:00; Sa 12:00-24:00; Su 12:00-17:00
La Caballeriza,-34.5858613,-58.4357564,,,,
,-24.7892082,-65.3930610,,,,
Victoria Urquiza,-34.5810557,-58.4742678,Avenida Triunvirato,,,
Aires Criollos,-34.5957052,-58.3927608,,,,
Happines House,-34.5967279,-58.3919963,,,,
Albamonte,-34.5876169,-58.4529679,,,,
Sabor Real,-34.5887187,-58.4461462,Avenida Dorrego,,,
Mala Cara,-34.5972051,-58.3881625,,,,
Puerto Madero,-27.4439344,-59.0241451,,,,Fr-Sa 21:30-04:00; Su 12:30-16:00
La Romería,-27.4484402,-58.9924746,Avenida Belgrano,,,We-Su 18:00-23:59
Parrilla El Santafesino,-27.4138959,-59.0025612,,,,"Mo-We 11:00-15:00; Th 11:00-24:00; Fr 00:00-02:00,11:00-15:00; Sa 11:00-15:00,20:00-24:00; Su 00:00-02:00,11:00-16:00"
Pizzería Las Leñas,-27.4419443,-58.9824169,,,,
Choppería Baco,-27.4404908,-58.9883785,,,,
Nanas de Cebolla,-27.4477232,-58.9819006,,,,
Inmobiliaria,-27.4430127,-58.9759456,,,,
Mariachi,-31.4312169,-64.2289705,,,,
Restaurante Náutico,-35.5784758,-58.0206766,,,,
Kebón,-27.4498369,-58.9830473,,,,
,-27.7775347,-64.2496457,,,,
,-29.4139148,-66.8478272,,,,
Restaurant Hotel Epecuén,-37.1805635,-62.7585298,,,,
Restaurant Termas Hotel Avenida,-37.1836452,-62.7564320,,,,
Pizzería Don Pedro,-27.4555239,-58.9842403,,,,
La República del Taco,-25.5989264,-54.5751993,Avenida Victoria Aguirre,,,
El Quincho del Tío Querido,-25.6060839,-54.5656491,Avenida Presidente Perón,,,
Nomen Nescio,-25.5961055,-54.5749702,,,,
Orale Wey,-25.5956105,-54.5745291,,,,
Milo,-38.0055416,-57.5563205,,,,
María Bonita,-38.0123888,-57.5498832,,,,
Nonna Raffaela,-38.0066997,-57.5523830,Alberti,,,
Alito,-38.0073064,-57.5408868,Avenida Patricio Peralta Ramos,,,
Pueblo Chico,-27.4054151,-55.9775519,,,,
,-26.8272901,-65.2203409,,,,
Tarquino,-41.1377895,-71.3138027,,,,
,-26.8287527,-65.2172417,,,,
,-26.8281071,-65.2135017,,,,
Restaurante Las Brisas,-26.0118218,-54.5865697,,,,
Kentucky,-34.6056786,-58.5637040,,,,
Mirasoles,-26.8263494,-65.2254907,,,,
América,-26.8225170,-65.2115881,,,,
Cartoon,-34.5956551,-58.3948181,,,,
,-26.8299753,-65.2024630,,,,
Comedor,-41.1162582,-71.4147499,,,,
Garden,-34.5954187,-58.3946962,,,,
Parada Norte,-34.5937422,-58.3941361,,,,
Como en Casa,-34.5939562,-58.3942552,,,,
El Callao,-34.5938760,-58.3933669,,,,
Covadonga,-34.5948212,-58.3944041,,,,
Teatriz,-34.5942714,-58.3944773,,,,
El mosquito (parrilla),-34.6058593,-58.4304665,,,,
Los Molinos,-34.5955227,-58.3986288,,,,
El Trébol,-34.5955830,-58.3984043,Avenida Santa Fe,,,
,-26.8081958,-65.2531841,,,,
Ligure,-34.5927603,-58.3793842,,,,
El Baqueano,-34.6160118,-58.3730632,,,,
comedor El Rancho,-30.3688872,-60.4001011,,,,
Un Lugar Distinto,-38.9403639,-68.1889561,Río Colorado,,,
El Rancho de Don Enrique - Restaurant - Parrilla,-34.8635006,-58.0473356,Camino Parque Centenario,,,
,-38.1371959,-61.7958426,,,,
Antonio Avelino,-32.9497596,-60.6379228,Barón de Mauá,+54 341 449-0546,,Mo-Sa 08:00-24:00
Cantina Royal,-38.7867318,-62.2671413,Juan Rubado,,,
Tigre Morado,-34.5818307,-58.4393712,,,,
Restaurant Posta Azul,-34.8623579,-58.0540023,Camino Parque Centenario,,,
Los Hermanos,-34.8646142,-58.0459170,,,,
Francesca,-34.8674135,-58.0459921,Calle 471,,,
Randall's,-34.5911407,-58.4278184,Malabia,,,
Green Bamboo,-34.5810736,-58.4368630,Costa Rica,,,
Oui Oui,-34.5779379,-58.4384228,Nicaragua,,,Tu-Fr 08:00-20:00; Sa-Su 10:00-20:00
Contigo Peru,-34.5584332,-58.4483975,Echeverría,,,"Mo-Sa 12:00-16:00, 20:00-00:00"
Don,-34.5628786,-58.4518904,,,,
Cowi,-34.5682002,-58.4441048,,,,
Akari - Sushi Bar,-34.8787784,-58.0527075,Calle 472 e/ 20 y 21,,,
Sabor a Rico,-37.6045145,-62.4053177,Bernardo de Irigoyen,,,16:00-20:00
,-37.6039781,-62.4054121,,,,
,-37.6023555,-62.4055644,,,,
,-37.6029870,-62.4064952,,,,
,-37.6027040,-62.4075386,,,,
,-37.6032055,-62.4085900,,,,
,-37.6025174,-62.4049771,,,,
Puesto Roca,-30.9592604,-64.2717960,,,,
La Casona del Molino,-24.7879190,-65.4369962,Luis Burela,,,
Pavarotti,-38.7170544,-62.2609016,Belgrano,,,
Don Luis,-34.6982975,-58.5083692,,,,
Restobar Americano,-26.8294190,-65.1881083,,,,
Restobar Juana,-26.8303931,-65.1894092,,,,
El Palacio de la Pizza,-34.6032960,-58.3773242,Avenida Corrientes,,,
Las Cuartetas,-34.6036825,-58.3785546,Avenida Corrientes,,,
ABC,-34.6021343,-58.3745169,,,,
Restaurant Wakayama,-34.5759488,-58.4098950,,,,"Mo-Su 10:00-18:00,19:30-24:00; Tu 10:00-18:00"
Tio Otto Parilla,-26.8205407,-55.0245385,,,,
,-34.6132879,-68.3391784,,,,
,-34.6081379,-68.3543911,,,,
,-34.6082370,-68.3526378,,,,
Pagoda,-34.6172894,-68.3272158,,,,
,-34.6182408,-68.3450579,,,,
,-34.6116763,-68.3279713,,,,
,-34.6136622,-68.3366054,,,,
,-34.6057149,-68.3596267,,,,
,-34.6070749,-68.3574434,,,,
Hangar 52,-34.6071102,-68.3557751,,,,
,-34.6125843,-68.3398196,,,,
El Portezuelo,-29.1668393,-67.4870096,,,,
Restaurant La Misionerita,-27.2614276,-55.5315518,,,,
El Noble,-34.7048587,-58.3928281,,,,
Pastas 12 de Octubre,-34.7048587,-58.3929992,,,,
,-31.4357448,-64.1906761,,,,
Patagonia,-43.0820029,-71.4650988,,,,
Evan Restaurant,-26.5698350,-54.7981192,Avenida El Libertador,,,
Matías Restó,-26.5674056,-54.7661977,Avenida El Libertador,,,Tu-Mo 09:00-00:00
La Robla,-34.6006299,-58.3898568,Viamonte,,,
Bravo,-34.6162746,-58.4315518,,,,
El Talion,-34.6182690,-58.4292478,,,,
La Argentinatta,-34.6227272,-58.4409753,Avenida Juan Bautista Alberdi,,,
,-33.1845591,-64.9974329,,,,
Plaza Nadal,-27.4702117,-58.8199746,,,,
Mizza Vista Bar,-27.4741435,-58.8468087,,,,
La Mira,-33.3282948,-60.2167201,Bartolomé Mitre,,,
Las Violetas,-32.0294313,-65.0099978,,,,
,-36.3864267,-59.4902440,,,,
,-36.3860380,-59.4898046,,,,
,-36.3890523,-59.4949968,,,,
La Cabaña,-34.6027088,-58.3668489,Avenida Alicia Moreau de Justo,,,
Alto Noa Shopping Center,-24.7808091,-65.4021304,,,,
Condor Plaza,-34.6496410,-58.7917336,,,,
La Cartuja,-34.4674435,-58.5097231,,,,
Rigoletto,-34.5941539,-58.3919980,,,,
Il Mercato,-38.7109969,-62.2627773,Avenida Alem,,,
Rave,-34.5889069,-58.4321384,Gorriti,,,
Restaurant Casa Grande,-28.0670572,-67.5678847,,,,
,-38.0468212,-57.5428006,,,,
,-38.0460739,-57.5426237,,,,
Chichilo,-38.0459923,-57.5437471,,,,
,-38.0461663,-57.5425844,,,,
Arrayanes,-34.6493642,-58.7928265,,,,
Plaza Mayor,-34.6507934,-58.7906424,Doctor Eugenio Asconapé,,,
Quiero Mangiare,-34.6514043,-58.7912254,,,,
Roma,-34.6497998,-58.7867655,,,,
,-38.1698365,-58.7756481,,,,
El Español,-38.1632111,-58.7840375,Avenida Mitre,,,
,-38.1616983,-58.7831450,,,,
Los Maestros,-34.5938080,-58.3885312,,,,
Punta Princesa,-41.1749069,-71.4743629,,,,
Casa Aristobulo,-34.5385702,-58.4817457,,,,
Cafe La Plaza,-34.5666899,-59.1139143,,,,
,-24.7222151,-66.1999474,,,,
La Frontera,-25.5963176,-54.5748085,,,,
Le Bistrot,-27.3672037,-55.8928638,Bolívar,,,
El Viejo Almacén,-34.6170505,-58.3700397,Balcarce,,,
Club Cervecería Quilmes,-34.7381463,-58.2576733,,,,
Parador El Condor,-31.6094322,-64.7583203,,,,
Pampa Mía,-34.5917056,-58.5036002,Habana,,,
El Salto de las Ranas,-34.5953141,-58.3918585,Rodríguez Peña,,,
Cumana,-34.5955327,-58.3918398,Rodríguez Peña,,,
La Cholita,-34.5954311,-58.3918532,Rodríguez Peña,,,
Comedor San Isidro,-22.7918140,-65.2165767,,,,
Restaurant del Tio,-27.9165342,-55.7555490,,,,
Restaurant Argentino Club,-32.6882908,-61.5235144,,,,
Mamma Mia,-34.6461409,-58.5347456,,,,
,-34.6415764,-58.5283380,,,,
La Parolaccia,-34.5967286,-58.3948947,,,,
Luz Solar,-34.5962388,-58.3948643,,,,
Caravati,-28.4693096,-65.7799000,Sarmiento,,,
Pipa´s,-24.7901525,-65.4111418,,,,
,-34.6193818,-58.3694947,,,,
San Fermin,-34.6193471,-58.3691420,Avenida Paseo Colón,,,
Benevento,-37.3252104,-59.1338731,,,,
Pizza Pizuela,-37.3263659,-59.1332320,,,,
Benicio,-37.3210547,-59.1305507,,,,
Taberna Pizzuela,-37.3258925,-59.1314319,General Paz,,,
Vieja Cantera,-37.3275657,-59.1519748,,,,
El Criollo,-37.3257489,-59.1371065,,,,
El Trébol,-37.3254818,-59.1422089,Mitre,,,
Boliche Noli,-37.3597795,-59.1228076,,,,
L'Avenir,-37.3253844,-59.1388098,,,,
Calabaza,-37.3249640,-59.1245338,Belgrano,,,
Al Ver Veras,-37.3191178,-59.1375336,,,,
Heladeria Grido,-28.4668154,-65.7980870,Avenida Galíndez,,,
Perú Deli,-34.5777091,-58.4245689,Beruti,,,
Tierra de Azafránes,-37.3239605,-59.1306701,,,,
Luz de Luna,-37.3402793,-59.1378876,,,,
El Parador del Centinela (Parrilla),-37.3558319,-59.1708410,,,,
Parador del Sol,-37.3501675,-59.1297660,,,,
La Cima,-35.4575979,-69.5856273,,,,
Rio Grande,-35.4579377,-69.5862396,,,,
La Yema de ORO,-31.0899375,-64.4811409,9 de Julio,,,Mo-Su 09:00-22:30
Gales,-37.3496941,-59.1716715,,,,
Cantina PINK,-37.3268688,-59.1379199,,,,
Donatello Pizza,-37.3242338,-59.1389764,,,,
Pizza Pink,-37.3250757,-59.1407005,,,,
El Rincón de los Amigos,-37.3226773,-59.1389891,,,,
Mitad y Mitad,-37.3349349,-59.1347028,,,,
Mitad y Mitad,-37.3246617,-59.1319607,,,,
El Molino,-37.3329962,-59.1267985,,,,
Grill Argentino,-37.3269321,-59.1364610,,,,
Mai Mai,-34.4623966,-58.5081913,,,,
Huellas del Tandil,-37.3236649,-59.1409172,,,,
Parrilla El Viejo Sauce,-37.3637533,-59.1178235,,,,
La Barraca,-37.3340671,-59.1331853,,,,
"La Querencia, Parrilla (Delivery)",-37.3300064,-59.1305620,,,,
El Estribo,-37.3256238,-59.1344926,San Martín,,,
Hotel Risco Plateado Golf & Resort,-35.4616112,-69.5964483,,,,
La Posta,-35.4746539,-69.5830116,,,,
"Vairoleto, Parrilla",-37.3266932,-59.1139403,,,,
"Parador Tandil, Parrilla",-37.3092358,-59.1160432,,,,
"La Rueda, Parrilla",-37.3188762,-59.1039207,,,,
"La Giralda, Parrilla",-37.3325695,-59.1331979,,,,
La Pulpería,-37.3449944,-59.1596730,,,,
Timbó Parrilla,-37.3442728,-59.1564286,Avenida Estrada,,,
La Verdad de la Milanesa,-37.3329851,-59.1343037,,,,
Majo,-27.4526941,-58.9972336,,,,
Gaynor,-31.8450946,-64.9544820,,,,
Cantina,-34.4441458,-58.6894599,,,,
La Aldea,-37.3267003,-59.1365853,General Rodríguez,,,
Restaurate Sukalde,-37.3225295,-59.1302747,,,,
Alcanfor Cocina con Amor,-37.3269770,-59.1422739,,,,
La Cuadra,-37.3337635,-59.1369944,,,,
Lo del Nono,-37.3216933,-59.1170470,,,,
Manco Paz,-37.3180845,-59.1361549,,,,
Nuevo Jardín,-37.3309200,-59.1371456,,,,
Trauun Cocina de Autor,-37.3338066,-59.1340431,,,,
Chapeaux,-37.3409930,-59.1311138,,,,
Eulogia,-37.3322871,-59.1332965,,,,
Estancia Cristina,-49.9629232,-73.1312726,,,,
Viva el Viento,-46.5514955,-71.6300158,,,,
Posta Azul,-36.7583576,-59.8047879,,,,
Noi,-34.6520304,-58.6406153,,,,
Klauss,-34.4156212,-58.5803275,Paseo Victorica,,,
Restaurant Cat,-32.2064646,-61.7019009,,,,
