name,@lat,@lon,addr:street,contact:phone,contact:website,opening_hours
Al Tran Tran,40.4722300,-3.5821536,,,,
Sidrería Poniente,43.5374883,-5.6840265,,,,
El llavianu,43.5368402,-5.6840462,Plaza de la Ciudad de La Habana,,,
Jota Cinco,40.4382334,-3.6373154,,,,Mo-Su 08:00-02:00
Mamma Juana,40.4382170,-3.6373926,,,,
Grant's,40.4397488,-3.6364268,,,,
Go,40.4375703,-3.6370092,,,,
Matsuri,40.4438890,-3.6345377,Calle López de Aranda,+34 917 43 43 98,,"Mo-Su 13:00-16:30, 20:00-00:00"
Unus,40.4439935,-3.6344424,,,,
Carlos,40.4440493,-3.6343156,,,,
El Ratito,40.4441386,-3.6341149,,,,
Eu Mundo,40.4445466,-3.6346069,,,,
Casa Tampico,40.4448785,-3.6353350,,,,
Cafetería Restaurante El Raso,42.3385583,-1.8224552,,,,
Hostal La Atalaya,42.3386896,-1.7969173,,,,
Centro de Jubilados,36.8807271,-2.0054967,,,,
La Chica,42.4814296,-1.6509359,,,,
Torre Mauro,38.3660534,-0.4308318,,,,
Salones Juan XXIII,38.3699207,-0.4700606,,,,
San Francisco,40.5200258,-3.7812549,Pista Cristo del Pardo,,,
La Montaña,40.5187667,-3.7754372,,,,
Mesón del Pardo,40.5194084,-3.7767025,,,,
Sidrería Ipur,43.1827865,-2.4795019,,,,
La Pepa,40.5059026,-3.6757441,Calle de San Juan de Ortega,,,
La Vega Experience,40.5338476,-3.6261189,Calle de Anabel Segura,,,
Restaurante Villa  Marcilla,42.3344379,-1.7184956,Ctra Estacion s/n,,,
Alfredo's Barbacoa,40.4605707,-3.6872821,Calle de Juan Hurtado de Mendoza,,,
,40.5060565,-3.6676655,,,,
Petiscos Galegos,40.4740954,-3.7054024,Avenida de El Ferrol,,,
La Casa de Yu,40.4788109,-3.7134141,,,,
Vips,40.4797730,-3.7085001,,,,
TGI Friday's,40.4793935,-3.7083499,,,,
Su Beroa,43.1846659,-2.4700267,Bista-eder kalea,,,
La Nicoletta,40.5090251,-3.6675001,,,,
Las Marismas,43.4371045,-3.8348716,Avenida de Parayas,,,
La Chimenea,41.8253473,-1.4673516,Ctra Magallon-La Almunia,,,
,42.3120099,-1.9792473,,,,
Kobe,40.5100394,-3.6673737,,,,
Kyoto,40.5182775,-3.8987664,,,,
,40.5081627,-3.6709914,,,,
Go! Sushing,40.4033042,-3.7081487,,,,
La Flama,40.5426589,-3.4575060,,,,
La Gamella,40.4189239,-3.6890563,,,,
Vips,40.3486886,-3.8493533,,,,
Restaurante Esencia,29.0407031,-13.5602100,Calle de las Perdices,,,
Asador La Hontanilla,41.0605800,-3.5281886,,,,
La Bombilla,42.4671338,-2.4475031,,,,
Bitacora,36.8745766,-2.0155510,,,,
restaurante astorga,38.3468766,-0.4945050,,,,
Bar La Candelilla,27.9464120,-15.6119408,,,,
Las Rosas,28.0011624,-15.5696313,,,,
Casa Fernando,27.9064187,-15.6698916,,,,
Doña Juana,41.8542611,-1.9267279,,,,
Arzak jatetxea,43.3214757,-1.9492364,Jose Elosegi Alkatea,,,
Sol y Luna,38.6858809,1.4495556,,,,
El Flare,38.2720239,-0.9415466,,,,
,38.3050666,-0.9353881,,,,
Ses Feixes,38.7139653,1.4615755,,,,
Muíño Daniel o Ferreiro,42.4330383,-8.7809071,,,,
Blue Bar,38.6809793,1.4808606,,,,
La Tortuga,38.6998687,1.4653547,,,,
Sa Parada,38.7017506,1.4630286,,,,
Can Blaiet,38.6700478,1.5539430,,,,
Pequeña Isla,38.6698049,1.5539216,,,,
Es Cap,38.6866416,1.4191993,,,,
El Sueno,38.7105037,1.4107180,,,,
Fonda Pepe,38.7072268,1.4585481,Carrer Major,,,
Can Forn,38.7078700,1.4588247,,,,
Macondo,38.7066323,1.4584769,,,,
tres60,38.7066876,1.4589733,,,,
Sa Platjeta,38.6858606,1.4536864,,,,
Real Playa,38.6836227,1.4731134,,,,
El Paraiso,38.6793323,1.4843665,,,,
Pelayo,38.6852955,1.4478720,,,,
Restaurante Cabo la Nao,38.7333612,0.2302382,,,,
Restaurante El Mirador de Jávea,38.7327795,0.2288637,,,,
Restaurante Café Bar Regina,36.9987161,-3.2640700,,,,
Restaurante Baeza & Rufete,38.3686514,-0.4334877,Avenida de Ansaldo,,,
La Tagliatella,38.3629134,-0.4304898,,,,
cervecería Max,38.3687039,-0.4348772,,,,
Dragonfly,36.2340324,-5.3163717,,,,
DBlanco Beach Club,36.2337006,-5.3149566,,,,
,36.2343951,-5.3166280,,,,
L'arruz,38.3654754,-0.4322083,,,,
,43.4270527,-8.1285305,,,,
Toresano,36.8799718,-2.0052563,,,,
Bayari,38.3676002,-0.4272925,,,,
La Lonja de Andrino,38.3676363,-0.4272065,,,,
Mesón El Puente Romano,43.3504186,-5.1325644,,,,
Restaurante La Fabada,43.3471015,-5.0883740,,,,
Casa Manuela,43.3513542,-5.1295400,,,,
Coll de Rates,38.7239459,-0.0602475,,,,Mo-Su 11:00-18:00
Restaurante El Abuelo,43.3510757,-5.1267152,Avenida de Covadonga,,,
Casa Fabiola,43.3278935,-4.5807187,,,,
Restaurante Casa Tomás,42.5235052,-1.5613189,Calle 13 de Septiembre,,,We-Su
Carabela,39.8416147,3.1290313,,,,
La Casa Gallega,39.8422716,3.1328919,,,,
New Cacao,39.8427692,3.1330542,,,,
Ven Sol,39.8424682,3.1296392,,,,
la Villa,39.8417257,3.1339125,,,,
Dakota,39.8418371,3.1325541,,,,
Piero Rossi,39.8387615,3.1320495,,,,
Caliu,39.8376079,3.1316769,,,,
Las Sirenas,39.8414252,3.1339146,,,,
Garlanda,39.8419182,3.1347832,Carrer dels Pins,,,
Samira,39.8421035,3.1347886,,,,
Donna Julieta,39.8418481,3.1347028,Carrer dels Pins,,,
La Recgleta,39.8421282,3.1340376,,,,
Dulcinea,39.8419629,3.1339609,,,,
Gran China,39.8416469,3.1316087,,,,
Bar Playa,39.8415361,3.1319578,,,,
Pipper's,39.8415501,3.1320822,,,,
Sa Taverne des Port,39.8391924,3.1323134,,,,
Bistro Mar,39.8394710,3.1324324,,,,
sa Gavina,39.8415806,3.1317282,,,,
Varadero,39.8389877,3.1322708,,,,
s'Espiga,39.8410370,3.1354755,Passeig Marítim,,,
Sa Bota,39.8410330,3.1355580,Passeig Marítim,,,
La Cabaña,39.8410096,3.1356847,Passeig Marítim,,,
Nova Marina,39.8408001,3.1362514,,,,
Miramar,39.8407448,3.1368365,Passeig Marítim,,,
Mar de Brasas,39.8398025,3.1377072,,,,
Blau Marítim,39.8387466,3.1388626,,,,
Bahía,39.8386889,3.1389914,,,,
Bar Lovento,39.8386415,3.1394232,,,,
,42.1880797,-2.1776391,,,,
Restaurante Nan-King,38.3626861,-0.4314512,,,,
MON-T-Roig,41.7432500,1.1825830,L-3030 KM 11.5,,,Mo-Su 06:00-22:00
El Nautico,40.5903124,-4.0483320,,,,
Casa del Mar,28.6514836,-17.9450805,,,,
Bar Restaurante de San Vicente de Labuerda,42.4685674,0.1081412,,,,
Mònaco,39.7677186,3.1484596,,,,
Beijing Duck,39.7683558,3.1490743,,,,
el Mojito,39.7680262,3.1486169,,,,
La Famiglia,39.7670972,3.1473438,,,,
China Town,39.7674421,3.1477707,,,,
Taj Mahal,39.7679495,3.1485044,,,,
Vinicius,39.7668578,3.1472296,,,,
Restaurante El Leñador,37.6788728,-0.9705656,,,,
Pizzeria Voy Volando,37.3572025,-2.2977586,,,,
Restaurante 222,37.9847411,-0.6579684,Avenida Alfredo Nobel,,,
K'la yaya,37.3557754,-2.2988850,,,,
La Granja,37.3571721,-2.2989624,,,,
Pizzeria Laif,37.3556479,-2.2962633,,,,
El Guijo,41.9998745,-5.6649647,,,,
Jardines Alberto,37.1741866,-3.5852181,,,,
sa Masia,39.5275744,2.4842588,,,,
Miguel,39.5141667,2.4814160,Avinguda Rei Jaume I,,,
,38.5778148,-0.0644802,,,,
Restaurante Ramirez,37.3540820,-2.2947156,,,,
Casa Pedro,37.3543833,-2.2941485,,,,
,40.6385755,-4.1527447,,,,
Pizzeria Maria,37.3881734,-5.9218547,,,,
Cafetería Rui,37.3872280,-5.9217397,,,,
,37.3875844,-5.9199692,,,,
,37.3886379,-5.9210132,,,,
,37.3881693,-5.9206068,,,,
Chino Chang,36.5573544,-4.6133958,,,,
,37.3520591,-2.3027663,,,,
Restaurante Cueva de Nerja,36.7617169,-3.8450181,,,,
,37.3454650,-2.2918722,,,,
Los Membrivos,37.3361031,-2.3007509,,,,
Pizzeria Pepperone,37.3336113,-2.3020992,,,,
Bar La Plaza,37.3324520,-2.3046539,,,,
Chamonix - Comida Italiana,37.3597940,-2.3000679,,,,
Meson de Huitar,37.3660188,-2.3053481,,,,
La Pilastra Del Torero,36.7404305,-5.1652921,Calle de Armiñan,,,
Bar Clemente,36.7382010,-5.1630797,,,,
Duquesa de Parcent,36.7394771,-5.1662238,,,,
,36.5953187,-4.6365274,,,,
El Mirlo Blanco,36.5942341,-4.6387693,,,,
La Villa,36.9414015,-1.9337484,,,,
La Palmera,36.9395705,-1.9329027,,,,
Sotavento,36.9402840,-1.9342702,,,,
Es Codol Foradat,38.6784561,1.4865936,,,,
,37.3586202,-2.2994678,,,,
Madrid,37.3586386,-2.2631643,,,,
La Tejera,37.3564152,-2.2863330,,,,
Casa Alvaro,28.5700527,-16.1588948,,,,
Akelarre,43.3077826,-2.0431538,Aita Orkolaga pasealekua,+34 943311209,,
El Rincón de las Tablas,40.4958129,-3.6755645,,,,
Cap del Port,42.6639708,0.9804753,,,,
,43.1677381,-4.7868326,,,,
Bar-Restaurante La Parada,40.4512504,-3.5813898,,,,
Bar los Arcos,40.4512553,-3.5815503,,,,
Sa Duaia,39.7416876,3.4044405,,,http://www.saduaia.com,
Bibelot,36.8383732,-2.4660807,,,,
Pizzeria Da Bruno,36.8382463,-2.4650313,,,,
El Rosario,40.4829998,-3.6940691,,,,
El Escondite Jamonal,40.4833027,-3.6958009,,,,
Sa Cova,39.7202798,3.4616683,Cala Lliteras,,,Mo-Su 09:00-24:00
Goiko Grill,40.5302584,-3.6384537,,,,
El Oso,40.5059739,-3.6572587,,,,
Las Ventas de Diego de Velázquez,40.3167699,-3.7328316,Calle Ramón Rubial,,,
Ôven,40.5045383,-3.6748903,,,,
La Lola,40.5059631,-3.6746957,,,,
Katagorri,38.3767669,-0.4222660,,,,
Bayari,38.3672345,-0.4251845,,,,
Touch,38.3667719,-0.4292934,,,,
Restaurante Tailandés Sabatika,38.3663084,-0.4304591,,,,
Sinsombrero,40.4269232,-3.6894651,Paseo de la Castellana,,,
La Gamba,38.3644441,-0.4314241,,,,
Bodegón La Raposa,28.3790415,-16.5164369,,,,"11:00-16:00,19:00-23:00"
Pico Viejo,28.4049194,-16.5201360,,,,
Canario,28.4049056,-16.5203198,,,,
Casa Paca,28.5726697,-16.1873403,,,,
El Mirador,28.5746800,-16.1884520,,,,Mo off
Merendero Casa Carlos,28.5389031,-16.2670391,,,,
La Playita,28.4910309,-16.2283357,,,,
Casa Santiago,28.5331774,-16.2525309,,,,
Cafetería Metrópolis,37.3630589,-5.9858491,,,,
Casa Kini,37.9382301,-5.7585197,Plaza de Juan Carlos I,,,
Zebra Maria,28.4136897,-16.5387058,,,,"PH,Mo-Su 13:00-23:30"
El Barracón,40.5045320,-3.6855922,Calle de Nuestra Señora de Valverde,,,
Vips,40.4968493,-3.6665137,,,,
Ginos,40.4969066,-3.6663936,,,,
100 Montaditos,37.3829205,-5.9723172,,,,
Jaque Mate Tapas,37.3829347,-5.9723901,Eduardo Dato,,,
Cafetería Globcafé,40.4828907,-3.6678160,,,,
La Fragua Del Pinar,40.4825647,-3.6705259,Calle de Caleruega,,,
Ni Hao,40.4817015,-3.6659151,Calle de Arturo Soria,,,
San Pedro,43.2143002,-2.4392435,,,,
La Tagliatella,40.4862506,-3.6655135,Avenida de Manoteras,,,
La Cofradia de Pescadores,27.8160926,-15.7665486,,,,
Bamboo,36.7420704,-3.8804621,Plaza de los Cangrejos,,,Mo-Su 09:00-22:00
Mirasol,36.7425909,-3.8803417,,,,
Jamaica,36.7431962,-3.8827996,,,,
Mirador de Cerro Gordo,36.7340654,-3.7676345,,,,Sa-Su 13:00-22:00
Restaurante El Paraíso,36.7471821,-4.0553217,,,,
Chalcha,43.1837977,-2.4741003,Isasi kalea,,,
Artola,43.1835442,-2.4734434,Untzaga plaza,,,
Eskarne,43.1859048,-2.4653481,,,,
Bodegas Tamanca,28.5966609,-17.8796967,Ctra. Gral Las Manchas,,,Tu-Sa 11:00-11:00; Su 11:00-17:00
La Castafiore,40.4230858,-3.6935468,,,,
Todo Rico,40.4458464,-3.4631402,,,,
Finca Lucero Celebraciones,40.4708871,-3.5830350,,,,
Finca Lucero,40.4705945,-3.5829290,,,,
El Porche,40.4708744,-3.5826133,,,,
El Carmen,28.6473707,-17.8984932,,,,
Gabi,43.2153698,-2.4156321,,,,
Gorbea,43.2136269,-2.4177808,,,,
Ibai-Ondo,43.2141213,-2.4176328,,,,
Sigma,43.2115537,-2.4185067,,,,
Lerun,43.2231392,-2.4063949,,,,
Usatorre,43.2278288,-2.4023735,,,,
Txarriduna,43.2161592,-2.4109766,Ermuaran-bide,,,
Kebab,38.4021602,-0.5212910,,,,
Can Punyetes,40.4159664,-3.7107110,,,,
Orale Compadre,40.5322395,-3.6443392,Carretera de Fuencarral,,,
Venta San José,39.8657794,-2.5776678,,,,
La Bodega,38.7406672,-0.4360248,,,,
La Cumbre,40.4375239,-3.7931761,,,,
Cochran's Terraza,36.7442752,-3.8765846,,,,
La Biznaga,36.7447885,-3.8765252,,,,
La Farola,36.7331772,-3.9793440,Avenida de España,,,"Tu 12:30-16:00,18:30-22:00; Th 12:30-16:00,18:30-22:00; Fr-Sa 12:30-16:00,18:00-22:30"
Virtudes,36.7907597,-3.8947208,,,,
El Higuerón,36.5870739,-4.5996586,,,,
Urberu erretegia,43.2815131,-2.2977956,,,,
Bar San Lorenzo,37.3968705,-5.9967756,,,,
Cafe Bar El Sardinero,37.3969679,-5.9963185,,,,
Almeda 5,37.3967979,-5.9945413,,,,
Casa Frutos,43.1583253,-3.7820970,Plaza del Doctor Madrazo,,,
La Estantería,43.1584720,-3.7829111,Plaza del Doctor Madrazo,,,
México,43.1562160,-3.7834490,,,,
El Cruce,43.1558107,-3.7834164,,,,
El Palmar,28.0310282,-16.6858725,,,,
El Dornajo,28.1349070,-16.6900553,,,,
the Phoenix,28.0292777,-16.5882326,,,,
La Marea,28.0285389,-16.5900573,,,,
Tito,28.0299431,-16.5937192,,,,
El Tablero II,28.0296696,-16.5925859,,,,
La Tasquita del Puerto,28.0289566,-16.5931752,,,,
Bencomo,28.0288414,-16.5929458,,,,
Los Roques,28.0285128,-16.5923973,,,,
la scarpetta,28.0287384,-16.5925098,,,,
El Ancla de Pepe,28.0288252,-16.5928593,,,,
El Picotero,28.0285802,-16.5924186,,,,
Rinconcito,28.0286200,-16.5924194,,,,
Amigos Sports Bar,28.0309332,-16.5943330,,,,
Tasca Tara,28.0485609,-16.6226214,,,,
El Cisne,38.1898879,-0.5526113,,,,
Curry House,36.7428714,-3.8841708,,,,"Mo 18:30-23:30; Tu-Su 13:00-15:30, 18:30-23:30"
El Picoteo,28.0788458,-16.5566508,,,,
El Jable,28.0782656,-16.5568857,,,,
El Nuevo Descanso,28.0759031,-16.5576224,,,,
Bar Croissanteria Gomar,28.0787027,-16.5600656,,,,
Pizza & Burger,28.0453553,-16.5393580,,,,
La Recoba,28.1211789,-16.5775749,,,,
Delicias del ur,28.1200136,-16.5767082,,,,
Bar Roque,28.1229896,-16.5773656,,,,
El Terrero,28.1258400,-16.5768501,,,,
Bar del Barrio,28.1226104,-16.5730953,,,,
La Vendimia,28.1603722,-16.6427395,Camino de San Roque,,,07:00-22:00
Rincon de Chasna,28.1503100,-16.6328675,,,,
Teide Flor,28.1530651,-16.6396221,,,,
Casa Pana,28.1586480,-16.6358018,,,,Tu-Sa 12:00-19:00; Su 12:00-17:00; Mo off
Rincón de Roberto,28.1571420,-16.6374945,Avenida Hermano Pedro,,,We-Su 12:00-22:00
Pensión Germán,28.1561889,-16.6373545,,,,
Fuente Hermano Pedro,28.1589334,-16.6365644,,,,Fr off
Casa Chico,28.1548705,-16.6379478,,,,
El Gomero II,28.0573899,-16.7227668,,,,
Casa Toño,28.0573021,-16.7230349,,,,
L'Amaretto,28.0561376,-16.7252437,,,,
Mito,28.0660112,-16.7296622,,,,
El Lagar,28.0613170,-16.7317824,,,,
Patch,28.0602775,-16.7328049,,,,
Los Angeles,28.0602159,-16.7328508,,,,
Doña Elvira,41.5230177,-5.3858437,,,,
Lagardo,28.0994302,-16.7543014,,,,
La Caleta,28.1009136,-16.7564576,,,,
La Vieja,28.1006251,-16.7551607,Edificio Terrazas de la Caleta,,,
Masia del Mar,28.1010794,-16.7558048,Calle el Muelle,,,Mo-Su 11:00-23:00
Rincón El Varadero,28.1020418,-16.7571663,,,,
Restaurante Aguas Blancas,37.2033695,-3.4487309,,,,
Bar Restaurante El Paleto,40.4164723,-3.6717472,Calle del Alcalde Sáinz de Baranda,,,
La Cuarta Esquina,42.3016331,-1.9590506,,,,
Beckham's,28.1288191,-16.7827885,,,,
La Romantica,28.1281632,-16.7829223,,,,
Casa Amedeo,28.1801771,-16.8173320,,,,
La Marina,28.1819659,-16.8141018,,,,
Chino Sour,28.1801877,-16.8175588,,,,
La Cremeria,28.1810007,-16.8186968,,,,
Taberna marinera,28.1808384,-16.8185859,,,,
Puesta de Sol,28.1817634,-16.8187059,,,,
Restaurante Casa Sira,28.2305799,-16.7917469,,,,Tu-Su 10:00-23:00
Bar Central,28.2094197,-16.7784010,,,,
El Pilón,28.2098880,-16.7808863,,,,
Mathew's,28.0625383,-16.7266310,,,,
The Whiskey Jar,28.0624072,-16.7266211,,,,
Lucana,28.0620681,-16.7267382,,,,
Michelangelo,28.0618526,-16.7280087,,,,
Aberdeen Steak House,28.0618815,-16.7281415,,,,
Pekin Garden,28.0618906,-16.7281820,,,,
Balkonen,28.0619066,-16.7282337,,,,
Tango,28.0620645,-16.7288751,,,,
Carriages,28.0622225,-16.7295221,,,,
The English Rose,28.0622381,-16.7295900,,,,
T. Linares V,28.0622498,-16.7296579,,,,
Hong Kong,28.0622988,-16.7298797,,,,
